 ###############
  -2.69880376380900       0.000000000000000E+000   2.69880376380900
  0.000000000000000E+000   2.69880376380900        2.69880376380900
  -2.69880376380900        2.69880376380900       0.000000000000000E+000
           8
          93
    4    6    2    2    2    1    2    2    1    1    2    6    2    2    2
    6    2    2    4    1    1    1    4    1    1    1    1    2    1    1
    1    2    2    1    1    2    4    2    1    2    1    1    1    1    2
    1    1    1    2    1    1    1    1    2    1    2    4    2    1    1
    2    2    1    1    1    2    1    1    1    1    4    1    1    1    4
    2    2    6    2    2    2    6    2    1    1    2    2    1    2    2
    2    6    4

   -3    1    1
    4    4   -0.31214833E-01  0.11130288E-08
    5    4    0.72450136E-01  0.70435537E-06
    6    4    0.17793303E-01  0.19179928E-06
    7    4    0.17793300E-01  0.12586669E-06
    8    4   -0.17793301E-01 -0.24103048E-06
    1    5   -0.10183877E-01  0.10713004E-06
    2    5   -0.13249388E-01  0.69114439E-07
    3    5   -0.13249389E-01  0.10033603E-06
    4    5    0.32952603E-01 -0.31984542E-06
    5    5   -0.31214830E-01  0.11491214E-08
    6    5   -0.24992007E-01 -0.23631995E-07
    7    5   -0.24992007E-01  0.65269626E-07
    8    5   -0.49067734E-01 -0.18956538E-06
    1    6    0.12011694E-01 -0.14160224E-06
    2    6   -0.29502225E-01  0.18054000E-06
    3    6   -0.97033559E-02  0.87684453E-07
    4    6    0.13249389E-01 -0.14196514E-06
    5    6   -0.35512029E-01  0.41519986E-07
    6    6   -0.15696267E-01 -0.29444015E-08
    7    6   -0.12981766E-01  0.51592495E-07
    8    6   -0.56411840E-01 -0.15579720E-06
    1    7    0.12011696E-01 -0.92162657E-07
    2    7   -0.97033599E-02  0.20791211E-07
    3    7   -0.29502221E-01  0.15048593E-06
    4    7    0.13249390E-01 -0.93245497E-07
    5    7   -0.35512031E-01 -0.97865362E-07
    6    7   -0.12981768E-01 -0.45715881E-07
    7    7   -0.15696266E-01  0.37548988E-09
    8    7   -0.56411838E-01 -0.36415171E-06
    1    8    0.10353572E-01 -0.15006857E-06
    2    8   -0.12011695E-01  0.10524397E-06
    3    8   -0.12011695E-01  0.13949418E-06
    4    8   -0.10183876E-01  0.13982766E-06
    5    8   -0.15193233E-01  0.55853400E-07
    6    8    0.78545920E-02 -0.23229369E-07
    7    8    0.78545902E-02 -0.50481971E-07
    8    8    0.81927560E-02  0.14964146E-08

   -2    0    2
    1    1   -0.53966070E-02 -0.24268156E-17
